GAME;VALUE;I;J;CONDIITON;COLOR
1;5;0;0;TRUE;BLUE
1;3;0;1;TRUE;BLUE
1;7;0;4;TRUE;BLUE
1;6;1;0;TRUE;BLUE
1;1;1;3;TRUE;BLUE
1;9;1;4;TRUE;BLUE
1;5;1;5;TRUE;BLUE
1;9;2;1;TRUE;BLUE
1;8;2;2;TRUE;BLUE
1;6;2;7;TRUE;BLUE
1;8;3;0;TRUE;BLUE
1;6;3;4;TRUE;BLUE
1;3;3;8;TRUE;BLUE
1;4;4;0;TRUE;BLUE
1;8;4;3;TRUE;BLUE
1;3;4;5;TRUE;BLUE
1;1;4;8;TRUE;BLUE
1;7;5;0;TRUE;BLUE
1;2;5;4;TRUE;BLUE
1;6;5;8;TRUE;BLUE
1;6;6;1;TRUE;BLUE
1;2;6;6;TRUE;BLUE
1;8;6;7;TRUE;BLUE
1;4;7;3;TRUE;BLUE
1;1;7;4;TRUE;BLUE
1;9;7;5;TRUE;BLUE
1;5;7;8;TRUE;BLUE
1;8;8;4;TRUE;BLUE
1;7;8;7;TRUE;BLUE
1;9;8;8;TRUE;BLUE
GAME;VALUE;I;J;CONDIITON;COLOR
2;5;0;2;TRUE;blue
2;3;0;3;TRUE;blue
2;8;1;0;TRUE;blue
2;2;1;7;TRUE;blue
2;7;2;1;TRUE;blue
2;1;2;4;TRUE;blue
2;5;2;6;TRUE;blue
2;4;3;0;TRUE;blue
2;5;3;5;TRUE;blue
2;3;3;6;TRUE;blue
2;1;4;1;TRUE;blue
2;7;4;4;TRUE;blue
2;6;4;8;TRUE;blue
2;3;5;2;TRUE;blue
2;2;5;3;TRUE;blue
2;8;5;7;TRUE;blue
2;6;6;1;TRUE;blue
2;5;6;3;TRUE;blue
2;9;6;8;TRUE;blue
2;4;7;2;TRUE;blue
2;3;7;7;TRUE;blue
2;9;8;5;TRUE;blue
2;7;8;6;TRUE;blue
GAME;VALUE;I;J;CONDIITON;COLOR
3;3;0;2;TRUE;blue
3;4;0;5;TRUE;blue
3;7;0;6;TRUE;blue
3;2;0;8;TRUE;blue
3;4;1;1;TRUE;blue
3;2;1;3;TRUE;blue
3;8;1;6;TRUE;blue
3;9;1;8;TRUE;blue
3;2;2;1;TRUE;blue
3;6;2;7;TRUE;blue
3;4;3;2;TRUE;blue
3;9;3;5;TRUE;blue
3;5;3;8;TRUE;blue
3;8;4;1;TRUE;blue
3;2;4;2;TRUE;blue
3;5;4;4;TRUE;blue
3;3;4;6;TRUE;blue
3;1;4;7;TRUE;blue
3;6;5;0;TRUE;blue
3;1;5;3;TRUE;blue
3;9;5;6;TRUE;blue
3;3;6;1;TRUE;blue
3;7;6;7;TRUE;blue
3;5;7;0;TRUE;blue
3;6;7;2;TRUE;blue
3;7;7;5;TRUE;blue
3;8;7;7;TRUE;blue
3;4;8;0;TRUE;blue
3;8;8;2;TRUE;blue
3;6;8;3;TRUE;blue
3;1;8;6;TRUE;blue
GAME;VALUE;I;J;CONDIITON;COLOR
